name,sat-lb,sat-lub-greedy,sat-lub-model,sat-lub-callback
Bio13-1POH.matrix.46p.17aa.usingEref_self_digit8,0.270981,0.278312,0.276523,0.278028
Bio13-1RIS.matrix.56p.17aa.usingEref_self_digit8,TO,TO,TO,TO
Bio13-1SHF.matrix.30p.9aa.usingEref_self_digit8,0.091085,0.097419,0.09639,0.096406
Bio13-1SHG.matrix.28p.17aa.usingEref_self_digit8,TO,TO,TO,TO
UAI17-1dvo-full,TO,TO,TO,TO
UAI17-1f00-full,TO,TO,TO,TO
UAI17-1is1-full,TO,TO,TO,TO
UAI17-1ng2-full,TO,TO,TO,TO
UAI17-1xaw-full,TO,TO,TO,TO
UAI17-1ytq-full,TO,TO,TO,TO
UAI17-1yz7-full,TO,TO,TO,TO
UAI17-2af5-full,TO,TO,TO,TO
UAI17-2gee-full,TO,TO,TO,TO
UAI17-2x8x-full,TO,TO,TO,TO
UAI17-3e3v-full,TO,TO,TO,TO
UAI17-3lf9-full,TO,TO,TO,TO
UAI17-3r8q-full,TO,TO,TO,TO
UAI17-3sz7-full,TO,TO,TO,TO
UAI17-4bxp-full,TO,TO,TO,TO
UAI17-4uos-full,TO,TO,TO,TO
UAI17-5dbl-full,TO,TO,TO,TO
UAI17-5e0z-full,TO,TO,TO,TO
UAI17-5e10-full,TO,TO,TO,TO
UAI17-5eqz-full,TO,TO,TO,TO
UAI17-5jdd-full,TO,TO,TO,TO
timeout=3600
