name,lb-hitman,lb-cplex,lub-hitman,lub-cplex
Bio13-1MJC.matrix.28p.17aa.usingEref_self_digit8,0.0877692699432373,0.3587989807128906,0.06649041175842285,0.42347264289855957
Bio13-1NXB.matrix.34p.9aa.usingEref_self_digit8,0.14977669715881348,0.8699889183044434,0.1483774185180664,0.9290165901184082
Bio13-1PGB.matrix.31p.17aa.usingEref_self_digit8,TO,TO,TO,TO
Bio13-1PIN.matrix.28p.20aa.usingEref_self_digit8,,TO,,TO
Bio13-1POH.matrix.46p.17aa.usingEref_self_digit8,0.32679200172424316,1.4419760704040527,0.3039076328277588,1.589526891708374
Bio13-1RIS.matrix.56p.17aa.usingEref_self_digit8,TO,TO,TO,TO
Bio13-1SHF.matrix.30p.9aa.usingEref_self_digit8,0.2055652141571045,1.1783192157745361,0.18979310989379883,1.2233750820159912
Bio13-1SHG.matrix.28p.17aa.usingEref_self_digit8,TO,TO,,TO
UAI17-1dvo-full,,,,
UAI17-1f00-full,TO,TO,TO,TO
UAI17-1is1-full,TO,,TO,TO
UAI17-1ng2-full,,TO,,
UAI17-1xaw-full,,,,
UAI17-1ytq-full,TO,TO,,
UAI17-1yz7-full,TO,TO,TO,
UAI17-2af5-full,,TO,,
UAI17-2gee-full,TO,TO,TO,TO
UAI17-2x8x-full,TO,TO,TO,TO
UAI17-3e3v-full,,,,TO
UAI17-3lf9-full,,,,
UAI17-3r8q-full,TO,,,TO
UAI17-3sz7-full,,,,
UAI17-4bxp-full,,,TO,TO
UAI17-4uos-full,TO,TO,TO,TO
UAI17-5dbl-full,,,,
UAI17-5e0z-full,,,,
UAI17-5e10-full,,,,
UAI17-5eqz-full,,,,
UAI17-5jdd-full,TO,TO,,
CP13-404,0.8201613426208496,196.9255301952362,0.4546241760253906,127.9858648777008
CP13-503,0.25498342514038086,26.53541874885559,0.05013561248779297,1.0077533721923828
CP13-505,TO,TO,TO,TO
CP13-pedigree13,TO,1439.4910233020782,19.976401567459106,10.883414506912231
CP13-pedigree18,TO,140.604651927948,182.33068203926086,2.155001163482666
CP13-pedigree20,TO,TO,226.50172305107117,10.473099708557129
CP13-pedigree25,TO,197.51989364624023,0.09968423843383789,0.9082491397857666
CP13-pedigree30,TO,415.59312891960144,381.1384334564209,2.109848976135254
CP13-pedigree31,TO,TO,TO,1278.8744909763336
CP13-pedigree33,TO,TO,TO,5.380832195281982
CP13-pedigree39,TO,TO,TO,3.5630269050598145
CP13-pedigree41,TO,TO,TO,422.5664188861847
CP13-pedigree44,TO,TO,TO,62.4156060218811
CP13-pedigree51,TO,TO,TO,30.410444259643555
CP13-pedigree7,TO,2593.2370772361755,0.21041274070739746,1.527259111404419
CP13-pedigree9,TO,TO,TO,23.670334577560425
timeout=3600
