name,lb-hitman,lb-cplex,lub-hitman,lub-cplex
Bio13-1NXB.matrix.34p.9aa.usingEref_self_digit8,0.14966056799999994,0.8467036280000001,0.148356724,0.9032120359999999
Bio13-1PGB.matrix.31p.17aa.usingEref_self_digit8,TO,TO,TO,TO
Bio13-1PIN.matrix.28p.20aa.usingEref_self_digit8,,TO,,TO
Bio13-1POH.matrix.46p.17aa.usingEref_self_digit8,0.307935847,1.4166750380000002,0.30389153700000004,1.5237499340000003
Bio13-1RIS.matrix.56p.17aa.usingEref_self_digit8,TO,TO,TO,TO
Bio13-1SHF.matrix.30p.9aa.usingEref_self_digit8,0.190838991,1.1543099300000002,0.189767786,1.198630112
Bio13-1SHG.matrix.28p.17aa.usingEref_self_digit8,TO,TO,,TO
UAI17-1dvo-full,,,,
UAI17-1f00-full,TO,TO,TO,TO
UAI17-1is1-full,TO,,TO,TO
UAI17-1ng2-full,,TO,,
UAI17-1xaw-full,,,,
UAI17-1ytq-full,TO,TO,,
UAI17-1yz7-full,TO,TO,TO,
UAI17-2af5-full,,TO,,
UAI17-2gee-full,TO,TO,TO,TO
UAI17-2x8x-full,TO,TO,TO,TO
UAI17-3e3v-full,,,,TO
UAI17-3lf9-full,,,,
UAI17-3r8q-full,TO,,,TO
UAI17-3sz7-full,,,,
UAI17-4bxp-full,,,TO,TO
UAI17-4uos-full,TO,TO,TO,TO
UAI17-5dbl-full,,,,
UAI17-5e0z-full,,,,
UAI17-5e10-full,,,,
UAI17-5eqz-full,,,,
UAI17-5jdd-full,TO,TO,,
CP13-404,0.8044574600000001,610.952253553,0.4546211849999999,439.976570708
CP13-503,0.20633968800000002,76.907307979,0.05013060899999999,2.560617503
CP13-505,TO,TO,TO,TO
CP13-pedigree13,TO,4923.109313957,19.975012822,27.817791449999998
CP13-pedigree18,TO,402.307706263,182.325042056,3.3257631869999997
CP13-pedigree20,TO,TO,226.492711567,30.916250576000003
CP13-pedigree25,TO,692.497787726,0.09968412399999993,0.9622731400000001
CP13-pedigree30,TO,1216.881620825,381.124794505,2.929675309
CP13-pedigree31,TO,TO,TO,4608.250671033
CP13-pedigree33,TO,TO,TO,12.192349281
CP13-pedigree39,TO,TO,TO,7.5915325540000005
CP13-pedigree41,TO,TO,TO,1440.238153559
CP13-pedigree44,TO,TO,TO,189.535695229
CP13-pedigree51,TO,TO,TO,90.222085073
CP13-pedigree7,TO,8191.437358068001,0.2104044989999999,2.338494572
CP13-pedigree9,TO,TO,TO,58.234744454
timeout=3600
