name,cost,time
Bio13-1SHG.matrix.28p.17aa.usingEref_self_digit8,1513360396394,0.046
UAI17-1dvo-full,275261183599,988.498
UAI17-1f00-full,621597393136,2710.609
UAI17-1is1-full,387357267732,10710.413
UAI17-1ng2-full,NA,TO
UAI17-1xaw-full,189893338039,594.563
UAI17-1ytq-full,NA,TO
UAI17-1yz7-full,NA,TO
UAI17-2af5-full,NA,TO
UAI17-2gee-full,393484253099,283.673
UAI17-2x8x-full,508480749111,33901.235
UAI17-3e3v-full,319741575845,26820.437
UAI17-3lf9-full,231505435134,311.489
UAI17-3r8q-full,76952169,966.85
UAI17-3sz7-full,NA,TO
UAI17-4bxp-full,294679078005,327.652
UAI17-4uos-full,NA,TO
UAI17-5dbl-full,202393247132,63.15
UAI17-5e0z-full,258171854714,35.021
UAI17-5e10-full,250549542623,39.223
UAI17-5eqz-full,279541100086,5457.755
UAI17-5jdd-full,560999439096,3620.232
